'SPINK1','TGFBR2','FGFR2','MLH1','BCL2','VHL','EGFR','KDR','HAVCR2','CTLA4','CDKN2A','KRAS','TGFB1','ITGA2','CMPK1','APC','ACTR2','ERBB2','PDCD1','PFN1','GPC3','TACSTD2','CDH17','MYC','CCND1','TP53','COPS5','CEACAM5'
9.4696,10.819,5.7217,8.9824,5.4921,8.6612,8.6017,7.9479,6.3895,3.1319,5.6115,9.3574,9.7424,10.096,12.018,7.312,12.62,12.46,4.1559,14.241,3.3306,6.2975,14.244,12.682,11.421,12.151,10.478,16.38
11.742,11,6.6259,8.3526,5.3109,9.7179,8.784,5.3831,5.6981,3.7247,7.7056,8.0429,9.516,9.1631,9.895,6.4689,9.5673,12.981,4.5486,14.862,4.2728,7.573,13.125,13.39,12.142,11.549,10.275,16.183
10.878,11.543,9.1705,9.031,8.365,9.7107,8.9741,7.7711,6.9646,4.1239,6.9791,10.641,8.6772,10.772,13.173,8.9299,12.703,11.802,4.7161,14.047,9.1417,6.7777,14.063,12.337,12.046,11.336,9.9526,17.238
10.104,12.005,7.7741,9.632,7.1386,10.375,9.0456,8.421,8.3818,5.5149,5.8085,10.21,10.214,10.408,12.943,8.3769,12.586,11.814,6.0017,14.004,4.5811,7.4725,14.282,12.851,12.103,11.48,11.298,16.415
12.634,11.083,8.3048,9.1963,6.7449,9.8392,8.723,7.2602,5.879,7.8083,6.9239,9.3503,9.0106,10.228,11.6,8.7268,11.616,12.584,7.5419,14.441,8.9601,10.006,13.164,12.659,12.252,12.063,9.753,15.614
5.6634,9.9963,7.2535,7.0742,8.0757,9.9654,8.9408,7.8394,8.9959,7.3692,8.6657,9.958,11.783,9.9168,11.475,8.9632,12.485,12.371,7.2169,14.673,5.8972,4.0256,12.387,11.293,12.628,11.812,10.027,13.751
10.48,11.447,6.9825,9.1458,6.3426,9.8126,8.8441,8.6533,7.6786,5.6378,5.9335,10.334,9.6437,11.128,12.707,8.873,12.578,15.197,5.2977,13.898,8.4274,9.8265,13.822,11.727,11.588,11.341,10.719,15.728
9.457,10.04,10.269,5.8456,8.5553,10.197,8.1531,8.3999,8.0023,5.8456,3.9719,9.8974,9.8819,10.819,12.6,9.5161,12.291,11.428,3.8641,13.748,6.0316,7.6018,12.912,12.159,12.695,11.45,10.048,13.989
10.541,11.461,4.455,9.2029,5.9447,9.7852,8.4829,8.156,6.8108,5.494,6.2671,10.085,9.7689,10.494,12.133,8.2107,12.394,11.664,5.1356,14.176,5.0896,6.7082,13.735,13.041,11.763,11.989,10.257,16.622
11.718,10.706,7.1159,9.5299,7.261,9.446,8.4297,8.032,8.087,6.5478,5.8996,9.2566,9.9245,8.8644,11.954,7.5832,12.134,12.079,4.6267,14.303,5.1236,6.0789,13.681,12.652,11.12,11.5,11.323,17.046
8.0754,11.562,7.6374,9.3085,6.4451,9.782,9.3592,8.5367,7.2697,4.2546,6.372,9.7693,9.5281,9.8523,12.362,8.2931,12.707,12.45,2.9801,13.548,4.6003,8.1341,13.829,13.576,12.565,10.447,11.148,16.401
11.494,10.995,4.6003,8.4505,4.0716,8.9238,8.4809,7.0257,6.4046,3.6044,8.5143,10.266,7.9017,10.343,13.194,8.5754,12.753,11.464,3.3649,13.364,4.6546,11.882,13.306,13.158,11.496,10.995,11.652,16.48
13.455,11.451,10.074,9.6547,8.4757,9.567,9.4271,6.6996,7.6267,3.8275,4.0735,9.7351,9.6017,8.712,12.282,8.2629,11.838,12.389,3.9557,14.457,10.079,8.9539,13.954,12.128,12.275,11.832,11.141,17.175
11.695,11.243,7.71,8.5739,5.2364,10.133,8.9628,7.9041,7.3417,4.4575,5.1324,10.931,9.3811,11.478,11.94,8.4497,12.639,12.384,4.2742,13.514,3.1479,6.9866,13.94,12.854,12.627,10.772,10.226,16.996
11.347,10.171,7.6061,7.2402,7.9361,8.827,7.0154,8.9961,9.4787,7.0852,4.036,10.91,10.36,10.953,12.671,7.6061,12.803,10.606,5.5213,14.609,5.8125,4.4289,12.032,11.391,11.955,11.352,10.606,14.068
12.168,11.631,4.9375,9.0852,8.1742,10.015,8.1585,8.7031,7.4573,6.552,6.984,10.872,9.8466,10.814,12.408,8.6312,12.631,11.461,4.7825,14.353,8.9277,8.8926,12.892,12.964,12.317,11.24,10.563,16.929
11.324,10.994,6.859,8.8786,6.0513,9.2797,8.5296,8.5657,8.5775,5.0047,5.1381,10.375,10.635,9.4909,12.308,8.0519,13.079,12.064,4.1785,14.045,6.1175,7.6103,13.717,12.144,11.726,11.976,10.557,17.152
